['G51', 'G48', 'G33', 'G21', 'G19', 'G14', 'G73', 'G66'];;X;Y;X1;Y1
V21;;744850,3623;6944704,007;744850,3571;6944704,026
V22;;744801,27;6944637,622;744801,2928;6944637,669
V23;;744715,7892;6944606,109;744715,8142;6944606,16
V24;;744710,6542;6944516,877;744710,6729;6944516,927
V25;;744799,7071;6944440,595;744799,7232;6944440,624
V26;;744659,631;6944369,945;744659,6545;6944369,991
V27;;744601,7856;6944461,992;744603,0966;6944461,605
V28;;744704,4727;6944714,328;744704,4781;6944714,369
V29;;744692,8639;6944781,468;744692,875;6944781,506
V30;;744591,9114;6944851,073;744591,909;6944851,045
V31;;744387,3528;6944783,033;744387,361;6944782,996
V32;;744500,9873;6944802,772;744500,9932;6944802,758
V33;;744566,6197;6944688,758;744566,6149;6944688,784
V34;;744477,3489;6944739,331;744477,1801;6944739,488
['G50', 'G34', 'G33', 'G21', 'G17', 'G14', 'G68', 'G63'];;;;;
V1;;744489,6889;6944624,924;744489,6758;6944624,956
V2;;744358,7644;6944595,206;744358,736;6944595,225
V3;;744292,6762;6944529,696;744292,6446;6944529,697
V4;;744379,7312;6944471,738;744379,6964;6944471,762
V5;;744375,6352;6944361,053;744375,6141;6944361,106
V6;;744365,514;6944281,733;744365,4823;6944281,783
V7;;744506,2631;6944317,482;744506,248;6944317,532
V8;;744640,4883;6944241,531;744640,5095;6944241,599
V9;;744709,4033;6944282,431;744709,4169;6944282,495
V10;;744648,4354;6944171,165;744648,4497;6944171,232
V11;;744775,9765;6944099,921;744776,0061;6944099,946
V12;;744851,9349;6943999,329;744851,9517;6943999,337
V13;;744958,5688;6944107,764;744958,6138;6944107,754
V14;;744983,8465;6944177,188;744983,8694;6944177,169
V15;;744873,2005;6944252,739;744873,2112;6944252,756
V16;;744961,3653;6944365,321;744961,3927;6944365,329
V17;;744895,8998;6944433,292;744895,9053;6944433,308
V18;;745027,9574;6944505,266;745027,9742;6944505,255
V19;;744947,5295;6944568,04;744947,5341;6944568,059
V20;;744909,3658;6944668,25;744909,3748;6944668,278
V21;;744850,3671;6944703,996;744850,3571;6944704,026
V22;;744801,2737;6944637,612;744801,2928;6944637,669
V23;;744715,7928;6944606,1;744715,8142;6944606,16
V24;;744710,6566;6944516,868;744710,6729;6944516,927
V25;;744799,7085;6944440,585;744799,7232;6944440,624
V26;;744659,6317;6944369,937;744659,6545;6944369,991
V27;;744601,7878;6944461,985;744603,0966;6944461,605
V28;;744704,4778;6944714,32;744704,4781;6944714,369
V29;;744692,87;6944781,46;744692,875;6944781,506
V30;;744591,921;6944851,068;744591,909;6944851,045
V31;;744387,362;6944783,031;744387,361;6944782,996
V32;;744500,9935;6944802,767;744500,9932;6944802,758
V33;;744566,6244;6944688,751;744566,6149;6944688,784
V34;;744477,3545;6944739,326;744477,1801;6944739,488
['G51', 'G45', 'G30', 'G26', 'G19', 'G79', 'G74', 'G67'];;;;;
V1;;744489,6802;6944624,933;744489,6758;6944624,956
V2;;744358,7555;6944595,213;744358,736;6944595,225
V3;;744292,6675;6944529,701;744292,6446;6944529,697
V4;;744379,7227;6944471,744;744379,6964;6944471,762
V5;;744375,6266;6944361,056;744375,6141;6944361,106
V6;;744365,5054;6944281,734;744365,4823;6944281,783
V7;;744506,2543;6944317,484;744506,248;6944317,532
V8;;744640,4827;6944241,54;744640,5095;6944241,599
V9;;744709,3976;6944282,441;744709,4169;6944282,495
V10;;744648,4304;6944171,174;744648,4497;6944171,232
V11;;744775,9719;6944099,93;744776,0061;6944099,946
V12;;744851,9302;6943999,337;744851,9517;6943999,337
V13;;744958,5642;6944107,774;744958,6138;6944107,754
V14;;744983,8414;6944177,199;744983,8694;6944177,169
V15;;744873,1945;6944252,749;744873,2112;6944252,756
V16;;744961,3589;6944365,332;744961,3927;6944365,329
V17;;744895,893;6944433,304;744895,9053;6944433,308
V18;;745027,9499;6944505,279;745027,9742;6944505,255
V19;;744947,5221;6944568,054;744947,5341;6944568,059
V20;;744909,3579;6944668,264;744909,3748;6944668,278
V21;;744850,3585;6944704,009;744850,3571;6944704,026
V22;;744801,2657;6944637,625;744801,2928;6944637,669
V23;;744715,7846;6944606,111;744715,8142;6944606,16
V24;;744710,6491;6944516,878;744710,6729;6944516,927
V25;;744799,7018;6944440,597;744799,7232;6944440,624
V26;;744659,6252;6944369,947;744659,6545;6944369,991
V27;;744601,7802;6944461,993;744603,0966;6944461,605
V28;;744704,4687;6944714,331;744704,4781;6944714,369
V29;;744692,8602;6944781,471;744692,875;6944781,506
V30;;744591,9087;6944851,073;744591,909;6944851,045
V31;;744387,3494;6944783,033;744387,361;6944782,996
V32;;744500,9833;6944802,775;744500,9932;6944802,758
V33;;744566,6153;6944688,761;744566,6149;6944688,784
V34;;744477,3446;6944739,334;744477,1801;6944739,488
['G50', 'G56', 'G31', 'G23', 'G17', 'G15', 'G75', 'G65'];;;;;
V1;;744489,6936;6944624,906;744489,6758;6944624,956
V2;;744358,7716;6944595,183;744358,736;6944595,225
V3;;744292,6864;6944529,671;744292,6446;6944529,697
V4;;744379,741;6944471,718;744379,6964;6944471,762
V5;;744375,6466;6944361,034;744375,6141;6944361,106
V6;;744365,527;6944281,715;744365,4823;6944281,783
V7;;744506,2722;6944317,467;744506,248;6944317,532
V8;;744640,5035;6944241,524;744640,5095;6944241,599
V9;;744709,4161;6944282,426;744709,4169;6944282,495
V10;;744648,4528;6944171,16;744648,4497;6944171,232
V11;;744775,9935;6944099,921;744776,0061;6944099,946
V12;;744851,9516;6943999,334;744851,9517;6943999,337
V13;;744958,582;6944107,77;744958,6138;6944107,754
V14;;744983,8568;6944177,194;744983,8694;6944177,169
V15;;744873,2098;6944252,74;744873,2112;6944252,756
V16;;744961,37;6944365,323;744961,3927;6944365,329
V17;;744895,9038;6944433,291;744895,9053;6944433,308
V18;;745027,9561;6944505,269;745027,9742;6944505,255
V19;;744947,5291;6944568,039;744947,5341;6944568,059
V20;;744909,3633;6944668,246;744909,3748;6944668,278
V21;;744850,3636;6944703,989;744850,3571;6944704,026
V22;;744801,2736;6944637,605;744801,2928;6944637,669
V23;;744715,7945;6944606,09;744715,8142;6944606,16
V24;;744710,6615;6944516,859;744710,6729;6944516,927
V25;;744799,7148;6944440,581;744799,7232;6944440,624
V26;;744659,6422;6944369,929;744659,6545;6944369,991
V27;;744601,7954;6944461,973;744603,0966;6944461,605
V28;;744704,4758;6944714,307;744704,4781;6944714,369
V29;;744692,8656;6944781,446;744692,875;6944781,506
V30;;744591,9116;6944851,047;744591,909;6944851,045
V31;;744387,3572;6944783,005;744387,361;6944782,996
V32;;744500,9915;6944802,745;744500,9932;6944802,758
V33;;744566,6255;6944688,735;744566,6149;6944688,784
V34;;744477,3547;6944739,305;744477,1801;6944739,488
['G53', 'G48', 'G32', 'G21', 'G18', 'G14', 'G75', 'G64'];;;;;
V1;;744489,7058;6944624,915;744489,6758;6944624,956
V2;;744358,7834;6944595,197;744358,736;6944595,225
V3;;744292,696;6944529,688;744292,6446;6944529,697
V4;;744379,7482;6944471,732;744379,6964;6944471,762
V5;;744375,6501;6944361,048;744375,6141;6944361,106
V6;;744365,5276;6944281,73;744365,4823;6944281,783
V7;;744506,2737;6944317,477;744506,248;6944317,532
V8;;744640,5003;6944241,529;744640,5095;6944241,599
V9;;744709,4142;6944282,428;744709,4169;6944282,495
V10;;744648,4469;6944171,164;744648,4497;6944171,232
V11;;744775,9844;6944099,921;744776,0061;6944099,946
V12;;744851,9389;6943999,331;744851,9517;6943999,337
V13;;744958,5726;6944107,763;744958,6138;6944107,754
V14;;744983,85;6944177,186;744983,8694;6944177,169
V15;;744873,2064;6944252,736;744873,2112;6944252,756
V16;;744961,3704;6944365,315;744961,3927;6944365,329
V17;;744895,9071;6944433,285;744895,9053;6944433,308
V18;;745027,9616;6944505,257;745027,9742;6944505,255
V19;;744947,5371;6944568,03;744947,5341;6944568,059
V20;;744909,3751;6944668,238;744909,3748;6944668,278
V21;;744850,3772;6944703,984;744850,3571;6944704,026
V22;;744801,2848;6944637,602;744801,2928;6944637,669
V23;;744715,805;6944606,09;744715,8142;6944606,16
V24;;744710,6686;6944516,86;744710,6729;6944516,927
V25;;744799,7185;6944440,579;744799,7232;6944440,624
V26;;744659,6439;6944369,932;744659,6545;6944369,991
V27;;744601,801;6944461,978;744603,0966;6944461,605
V28;;744704,4906;6944714,307;744704,4781;6944714,369
V29;;744692,8831;6944781,447;744692,875;6944781,506
V30;;744591,9331;6944851,052;744591,909;6944851,045
V31;;744387,3772;6944783,017;744387,361;6944782,996
V32;;744501,0107;6944802,753;744500,9932;6944802,758
V33;;744566,6399;6944688,74;744566,6149;6944688,784
V34;;744477,3715;6944739,314;744477,1801;6944739,488
['G49', 'G48', 'G32', 'G24', 'G17', 'G14', 'G73', 'G64'];;;;;
V1;;744489,701;6944624,917;744489,6758;6944624,956
V2;;744358,78;6944595,196;744358,736;6944595,225
V3;;744292,6945;6944529,686;744292,6446;6944529,697
V4;;744379,7481;6944471,732;744379,6964;6944471,762
V5;;744375,6534;6944361,048;744375,6141;6944361,106
V6;;744365,5334;6944281,729;744365,4823;6944281,783
V7;;744506,2783;6944317,479;744506,248;6944317,532
V8;;744640,5037;6944241,535;744640,5095;6944241,599
V9;;744709,4164;6944282,436;744709,4169;6944282,495
V10;;744648,4519;6944171,171;744648,4497;6944171,232
V11;;744775,9909;6944099,931;744776,0061;6944099,946
V12;;744851,9484;6943999,343;744851,9517;6943999,337
V13;;744958,5785;6944107,777;744958,6138;6944107,754
V14;;744983,8543;6944177,2;744983,8694;6944177,169
V15;;744873,2094;6944252,748;744873,2112;6944252,756
V16;;744961,3703;6944365,328;744961,3927;6944365,329
V17;;744895,9054;6944433,297;744895,9053;6944433,308
V18;;745027,9582;6944505,272;745027,9742;6944505,255
V19;;744947,5317;6944568,043;744947,5341;6944568,059
V20;;744909,3673;6944668,25;744909,3748;6944668,278
V21;;744850,3691;6944703,994;744850,3571;6944704,026
V22;;744801,2783;6944637,611;744801,2928;6944637,669
V23;;744715,7998;6944606,097;744715,8142;6944606,16
V24;;744710,6654;6944516,867;744710,6729;6944516,927
V25;;744799,7166;6944440,588;744799,7232;6944440,624
V26;;744659,6443;6944369,939;744659,6545;6944369,991
V27;;744601,7999;6944461,983;744603,0966;6944461,605
V28;;744704,483;6944714,314;744704,4781;6944714,369
